time,elapsed,test_type,phase,axis,direction,target_speed,cmd_vx,cmd_wz,fb_vx,fb_vy,fb_wz
1782644401.9531543,1.080258846282959,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.9930363,1.120140790939331,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.0330517,1.16015625,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.0730581,1.200162649154663,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.1130545,1.240159034729004,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.1530585,1.280163049697876,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.1930625,1.320167064666748,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.2330549,1.3601593971252441,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.273004,1.4001085758209229,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.3130548,1.4401593208312988,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.3530533,1.4801578521728516,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.3932507,1.520355224609375,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.433055,1.56015944480896,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.4730666,1.6001710891723633,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.513064,1.6401684284210205,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.553086,1.6801905632019043,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.593078,1.7201824188232422,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.6330628,1.7601673603057861,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.6731875,1.8002920150756836,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.7130592,1.8401637077331543,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.7530699,1.8801743984222412,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.7930398,1.9201443195343018,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644402.8330648,1.9601693153381348,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644405.4836133,4.5299530029296875e-06,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.5237753,0.040166616439819336,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.5637624,0.0801537036895752,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.6037824,0.12017369270324707,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.6437962,0.1601874828338623,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.6838605,0.20025181770324707,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.7237525,0.2401437759399414,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.7637477,0.2801389694213867,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.8037708,0.3201620578765869,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.8437774,0.3601686954498291,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.8837779,0.40016913414001465,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.923781,0.4401721954345703,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644405.9637105,0.4801018238067627,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.003711,0.5201022624969482,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.0437489,0.5601401329040527,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.0837033,0.6000945568084717,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.1238792,0.640270471572876,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.163764,0.6801552772521973,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.203765,0.720156192779541,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.2437804,0.76017165184021,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.2837489,0.8001401424407959,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.3237367,0.8401279449462891,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.3638089,0.8802001476287842,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.4037938,0.9201850891113281,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.4437752,0.9601664543151855,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.483904,1.0002951622009277,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.5237205,1.040111780166626,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.5637603,1.0801515579223633,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.6037784,1.1201696395874023,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.6437893,1.1601805686950684,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.683779,1.2001702785491943,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.723772,1.2401633262634277,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.7636867,1.2800779342651367,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.8036976,1.3200888633728027,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.8437517,1.3601429462432861,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.8839564,1.4003477096557617,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.923722,1.4401133060455322,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644406.963748,1.4801392555236816,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.0037594,1.5201506614685059,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.043757,1.5601482391357422,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.0837693,1.6001605987548828,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.1237788,1.6401700973510742,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,-0.003,-0.003,-0.023
1782644407.1637788,1.6801700592041016,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,-0.003,-0.003,-0.023
1782644407.2037475,1.7201387882232666,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,-0.003,-0.003,-0.023
1782644407.2437494,1.7601406574249268,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,-0.003,-0.003,-0.023
1782644407.2837107,1.8001019954681396,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.323735,1.8401262760162354,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.3637254,1.8801167011260986,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.40372,1.9201111793518066,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644407.4437058,1.960097074508667,breakaway,target_from_rest,vx,1,0.01,0.01,0.0,0.0,0.0,0.0
1782644410.0893211,1.430511474609375e-06,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.1294367,0.04011702537536621,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.1694355,0.08011579513549805,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.2094142,0.12009453773498535,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.2494047,0.16008496284484863,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.2894218,0.2001020908355713,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.3294442,0.24012446403503418,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.369489,0.2801692485809326,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.4094868,0.32016706466674805,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.4497688,0.36044907569885254,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.4894788,0.4001591205596924,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.529476,0.4401562213897705,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.569425,0.4801054000854492,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.6095045,0.5201847553253174,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.6494777,0.5601580142974854,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
