[INFO] [1783321112.563961346] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783321112.568133177] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783321112.571407884] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783321112.574772674] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783321112.577883548] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783321112.581048505] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783321112.584414795] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783321112.587345544] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783321112.590761001] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783321112.594200333] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783321112.597515123] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783321112.600809955] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783321112.604113829] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783321112.607160202] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783321114.237979584] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783321235.379626010] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321237.396430949] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321239.394963072] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321241.422623045] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321243.420665816] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321245.439154847] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321247.448801319] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321249.449222149] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321251.460934272] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321253.470857718] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321255.471503355] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321257.490228708] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321259.493778873] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321261.496477445] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321263.503124053] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321265.520012995] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321267.531473508] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321269.615300365] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321271.618704603] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321273.633451176] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321275.644619404] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321277.648023575] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321279.654126366] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321281.664648444] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321283.672667969] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321285.678021985] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
