[INFO] [1781017158.367980794] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781017158.370397716] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781017158.942783580] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781017158.945004876] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781017158.947853757] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781017158.949937678] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781017158.952010974] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781017165.194323756] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.232176877] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.266379740] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.302642024] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.367806493] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.412201294] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.459671643] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.504499486] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.541881564] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.578259265] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.614265173] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.651937460] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.689050621] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.726523199] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.760990854] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.798084973] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.834660507] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.870844708] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.020 => send: vx=0.010, vy=0.000, wz=0.020, kick=False
[INFO] [1781017165.907958160] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.020 => send: vx=0.010, vy=0.000, wz=0.020, kick=False
[INFO] [1781017165.972529795] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.020 => send: vx=0.010, vy=0.000, wz=0.020, kick=False
[INFO] [1781017166.008328119] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.020 => send: vx=0.010, vy=0.000, wz=0.020, kick=False
[INFO] [1781017166.046503866] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.019 => send: vx=0.010, vy=0.000, wz=0.019, kick=False
[INFO] [1781017166.084610987] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.019 => send: vx=0.010, vy=0.000, wz=0.019, kick=False
[INFO] [1781017166.122838525] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.018 => send: vx=0.010, vy=0.000, wz=0.018, kick=False
[INFO] [1781017166.160090311] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.017 => send: vx=0.010, vy=0.000, wz=0.017, kick=False
[INFO] [1781017166.197349888] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.017 => send: vx=0.010, vy=0.000, wz=0.017, kick=False
