===== YOLO live preview =====
PROJECT_DIR=/root/rdk_x5_vln_robot
TARGET_WORDS=cup
TARGET_CLASSES=cup
IMAGE_TOPIC=/image_raw
DET_TOPIC=/hobot_yolo_world
WEB_PORT=8088
[live_preview] starting existing diagnostic YOLO chain...
[live_preview] yolo chain pid=8260
[live_preview] waiting 8 seconds for camera/YOLO startup...
[live_preview] open browser: http://192.168.137.165:8088
[WARN] [1782732006.632677073] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732007.868878062] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732008.936057700] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732009.937926154] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732010.981866484] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732012.080201688] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732013.190137392] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732014.286421643] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732015.334119973] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732016.378139408] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732017.383033607] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732018.432286749] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732019.531990707] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732020.574290388] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732021.631927461] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732022.679762306] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732023.782454811] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732024.879318311] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732025.978004753] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732027.028700312] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732028.034891467] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732029.057558421] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732030.127745252] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732031.143296415] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732032.198493759] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732033.258304609] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732034.462904497] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732035.526314982] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732036.656867873] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732037.777276789] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732038.782111168] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732039.790163813] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732040.931453740] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732041.986347512] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732043.083165532] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732044.229326121] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732045.300924850] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732046.433260194] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732047.526813221] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732048.582498383] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732049.635210687] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732050.728499164] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732051.857810344] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732052.933145105] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732054.007241413] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732055.089814534] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732056.105160786] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732057.137286668] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732058.183420575] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732059.229891226] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732060.279987931] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732061.287187017] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732062.318617472] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732063.386823292] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732064.458863165] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732065.575038309] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732066.682031639] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732067.720258280] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732068.780501431] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732069.888426995] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732070.934691321] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732071.982861255] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732073.027417420] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732074.076550217] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732075.132556462] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732076.136374030] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732077.229106678] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732078.278197587] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732079.279236041] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732080.331454548] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732081.331875917] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732082.470694183] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732083.486909977] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732084.528180591] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732085.528453034] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732086.582989049] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732087.724321156] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732088.796360584] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732089.923871449] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732090.930846080] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732091.982572600] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732093.173754256] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732094.178266563] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732095.350374346] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732096.439644839] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732097.525556144] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732098.529336570] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732099.580649614] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732100.679017864] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732101.681649374] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732102.688956014] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732103.730239786] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732104.735494811] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732105.836690777] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732106.925683994] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732108.072355505] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732109.133591663] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732110.183226651] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732111.228747290] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732112.419842473] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732113.532561795] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732114.668189034] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732115.681411851] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732116.694384917] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732117.761932300] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732118.828086816] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732119.838204562] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732120.930067847] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732121.932558268] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
[WARN] [1782732123.078144247] [yolo_live_browser_preview]: [MVP_REJECT] reason=waiting_multiframe_votes vote=0/6 raw=0 [none]
