publisher: beginning loop
publishing #236: std_msgs.msg.String(data='backpack')

publishing #237: std_msgs.msg.String(data='backpack')

publishing #238: std_msgs.msg.String(data='backpack')

publishing #239: std_msgs.msg.String(data='backpack')

publishing #240: std_msgs.msg.String(data='backpack')

publishing #241: std_msgs.msg.String(data='backpack')

publishing #242: std_msgs.msg.String(data='backpack')

publishing #243: std_msgs.msg.String(data='backpack')

publishing #244: std_msgs.msg.String(data='backpack')

publishing #245: std_msgs.msg.String(data='backpack')

publishing #246: std_msgs.msg.String(data='backpack')

publishing #247: std_msgs.msg.String(data='backpack')

publishing #248: std_msgs.msg.String(data='backpack')

publishing #249: std_msgs.msg.String(data='backpack')

publishing #250: std_msgs.msg.String(data='backpack')

publishing #251: std_msgs.msg.String(data='backpack')

publishing #252: std_msgs.msg.String(data='backpack')

publishing #253: std_msgs.msg.String(data='backpack')

publishing #254: std_msgs.msg.String(data='backpack')

publishing #255: std_msgs.msg.String(data='backpack')

publishing #256: std_msgs.msg.String(data='backpack')

publishing #257: std_msgs.msg.String(data='backpack')

publishing #258: std_msgs.msg.String(data='backpack')

publishing #259: std_msgs.msg.String(data='backpack')

publishing #260: std_msgs.msg.String(data='backpack')

publishing #261: std_msgs.msg.String(data='backpack')

publishing #262: std_msgs.msg.String(data='backpack')

publishing #263: std_msgs.msg.String(data='backpack')

publishing #264: std_msgs.msg.String(data='backpack')

publishing #265: std_msgs.msg.String(data='backpack')

publishing #266: std_msgs.msg.String(data='backpack')

publishing #267: std_msgs.msg.String(data='backpack')

publishing #268: std_msgs.msg.String(data='backpack')

publishing #269: std_msgs.msg.String(data='backpack')

publishing #270: std_msgs.msg.String(data='backpack')

publishing #271: std_msgs.msg.String(data='backpack')

publishing #272: std_msgs.msg.String(data='backpack')

publishing #273: std_msgs.msg.String(data='backpack')

publishing #274: std_msgs.msg.String(data='backpack')

publishing #275: std_msgs.msg.String(data='backpack')

publishing #276: std_msgs.msg.String(data='backpack')

publishing #277: std_msgs.msg.String(data='backpack')

publishing #278: std_msgs.msg.String(data='backpack')

publishing #279: std_msgs.msg.String(data='backpack')

publishing #280: std_msgs.msg.String(data='backpack')

publishing #281: std_msgs.msg.String(data='backpack')

publishing #282: std_msgs.msg.String(data='backpack')

publishing #283: std_msgs.msg.String(data='backpack')

publishing #284: std_msgs.msg.String(data='backpack')

publishing #285: std_msgs.msg.String(data='backpack')

publishing #286: std_msgs.msg.String(data='backpack')

publishing #287: std_msgs.msg.String(data='backpack')

publishing #288: std_msgs.msg.String(data='backpack')

publishing #289: std_msgs.msg.String(data='backpack')

publishing #290: std_msgs.msg.String(data='backpack')

publishing #291: std_msgs.msg.String(data='backpack')

publishing #292: std_msgs.msg.String(data='backpack')

publishing #293: std_msgs.msg.String(data='backpack')

publishing #294: std_msgs.msg.String(data='backpack')

publishing #295: std_msgs.msg.String(data='backpack')

publishing #296: std_msgs.msg.String(data='backpack')

publishing #297: std_msgs.msg.String(data='backpack')

publishing #298: std_msgs.msg.String(data='backpack')

publishing #299: std_msgs.msg.String(data='backpack')

publishing #300: std_msgs.msg.String(data='backpack')

publishing #301: std_msgs.msg.String(data='backpack')

publishing #302: std_msgs.msg.String(data='backpack')

publishing #303: std_msgs.msg.String(data='backpack')

publishing #304: std_msgs.msg.String(data='backpack')

publishing #305: std_msgs.msg.String(data='backpack')

publishing #306: std_msgs.msg.String(data='backpack')

publishing #307: std_msgs.msg.String(data='backpack')

publishing #308: std_msgs.msg.String(data='backpack')

publishing #309: std_msgs.msg.String(data='backpack')

publishing #310: std_msgs.msg.String(data='backpack')

publishing #311: std_msgs.msg.String(data='backpack')

publishing #312: std_msgs.msg.String(data='backpack')

publishing #313: std_msgs.msg.String(data='backpack')

publishing #314: std_msgs.msg.String(data='backpack')

publishing #315: std_msgs.msg.String(data='backpack')

publishing #316: std_msgs.msg.String(data='backpack')

publishing #317: std_msgs.msg.String(data='backpack')

publishing #318: std_msgs.msg.String(data='backpack')

publishing #319: std_msgs.msg.String(data='backpack')

publishing #320: std_msgs.msg.String(data='backpack')

publishing #321: std_msgs.msg.String(data='backpack')

publishing #322: std_msgs.msg.String(data='backpack')

publishing #323: std_msgs.msg.String(data='backpack')

publishing #324: std_msgs.msg.String(data='backpack')

publishing #325: std_msgs.msg.String(data='backpack')

publishing #326: std_msgs.msg.String(data='backpack')

publishing #327: std_msgs.msg.String(data='backpack')

publishing #328: std_msgs.msg.String(data='backpack')

publishing #329: std_msgs.msg.String(data='backpack')

publishing #330: std_msgs.msg.String(data='backpack')

publishing #331: std_msgs.msg.String(data='backpack')

publishing #332: std_msgs.msg.String(data='backpack')

publishing #333: std_msgs.msg.String(data='backpack')

publishing #334: std_msgs.msg.String(data='backpack')

publishing #335: std_msgs.msg.String(data='backpack')

publishing #336: std_msgs.msg.String(data='backpack')

publishing #337: std_msgs.msg.String(data='backpack')

publishing #338: std_msgs.msg.String(data='backpack')

publishing #339: std_msgs.msg.String(data='backpack')

publishing #340: std_msgs.msg.String(data='backpack')

publishing #341: std_msgs.msg.String(data='backpack')

publishing #342: std_msgs.msg.String(data='backpack')

publishing #343: std_msgs.msg.String(data='backpack')

publishing #344: std_msgs.msg.String(data='backpack')

publishing #345: std_msgs.msg.String(data='backpack')

publishing #346: std_msgs.msg.String(data='backpack')

publishing #347: std_msgs.msg.String(data='backpack')

publishing #348: std_msgs.msg.String(data='backpack')

publishing #349: std_msgs.msg.String(data='backpack')

publishing #350: std_msgs.msg.String(data='backpack')

publishing #351: std_msgs.msg.String(data='backpack')

publishing #352: std_msgs.msg.String(data='backpack')

publishing #353: std_msgs.msg.String(data='backpack')

publishing #354: std_msgs.msg.String(data='backpack')

publishing #355: std_msgs.msg.String(data='backpack')

publishing #356: std_msgs.msg.String(data='backpack')

publishing #357: std_msgs.msg.String(data='backpack')

publishing #358: std_msgs.msg.String(data='backpack')

publishing #359: std_msgs.msg.String(data='backpack')

publishing #360: std_msgs.msg.String(data='backpack')

publishing #361: std_msgs.msg.String(data='backpack')

publishing #362: std_msgs.msg.String(data='backpack')

publishing #363: std_msgs.msg.String(data='backpack')

publishing #364: std_msgs.msg.String(data='backpack')

publishing #365: std_msgs.msg.String(data='backpack')

publishing #366: std_msgs.msg.String(data='backpack')

publishing #367: std_msgs.msg.String(data='backpack')

publishing #368: std_msgs.msg.String(data='backpack')

publishing #369: std_msgs.msg.String(data='backpack')

publishing #370: std_msgs.msg.String(data='backpack')

publishing #371: std_msgs.msg.String(data='backpack')

publishing #372: std_msgs.msg.String(data='backpack')

publishing #373: std_msgs.msg.String(data='backpack')

publishing #374: std_msgs.msg.String(data='backpack')

publishing #375: std_msgs.msg.String(data='backpack')

publishing #376: std_msgs.msg.String(data='backpack')

publishing #377: std_msgs.msg.String(data='backpack')

publishing #378: std_msgs.msg.String(data='backpack')

publishing #379: std_msgs.msg.String(data='backpack')

publishing #380: std_msgs.msg.String(data='backpack')

publishing #381: std_msgs.msg.String(data='backpack')

publishing #382: std_msgs.msg.String(data='backpack')

publishing #383: std_msgs.msg.String(data='backpack')

publishing #384: std_msgs.msg.String(data='backpack')

publishing #385: std_msgs.msg.String(data='backpack')

publishing #386: std_msgs.msg.String(data='backpack')

publishing #387: std_msgs.msg.String(data='backpack')

publishing #388: std_msgs.msg.String(data='backpack')

publishing #389: std_msgs.msg.String(data='backpack')

publishing #390: std_msgs.msg.String(data='backpack')

publishing #391: std_msgs.msg.String(data='backpack')

publishing #392: std_msgs.msg.String(data='backpack')

publishing #393: std_msgs.msg.String(data='backpack')

publishing #394: std_msgs.msg.String(data='backpack')

publishing #395: std_msgs.msg.String(data='backpack')

publishing #396: std_msgs.msg.String(data='backpack')

publishing #397: std_msgs.msg.String(data='backpack')

publishing #398: std_msgs.msg.String(data='backpack')

publishing #399: std_msgs.msg.String(data='backpack')

publishing #400: std_msgs.msg.String(data='backpack')

publishing #401: std_msgs.msg.String(data='backpack')

publishing #402: std_msgs.msg.String(data='backpack')

publishing #403: std_msgs.msg.String(data='backpack')

publishing #404: std_msgs.msg.String(data='backpack')

publishing #405: std_msgs.msg.String(data='backpack')

publishing #406: std_msgs.msg.String(data='backpack')

publishing #407: std_msgs.msg.String(data='backpack')

publishing #408: std_msgs.msg.String(data='backpack')

publishing #409: std_msgs.msg.String(data='backpack')

publishing #410: std_msgs.msg.String(data='backpack')

publishing #411: std_msgs.msg.String(data='backpack')

publishing #412: std_msgs.msg.String(data='backpack')

publishing #413: std_msgs.msg.String(data='backpack')

publishing #414: std_msgs.msg.String(data='backpack')

publishing #415: std_msgs.msg.String(data='backpack')

publishing #416: std_msgs.msg.String(data='backpack')

publishing #417: std_msgs.msg.String(data='backpack')

publishing #418: std_msgs.msg.String(data='backpack')

publishing #419: std_msgs.msg.String(data='backpack')

publishing #420: std_msgs.msg.String(data='backpack')

publishing #421: std_msgs.msg.String(data='backpack')

publishing #422: std_msgs.msg.String(data='backpack')

publishing #423: std_msgs.msg.String(data='backpack')

publishing #424: std_msgs.msg.String(data='backpack')

publishing #425: std_msgs.msg.String(data='backpack')

publishing #426: std_msgs.msg.String(data='backpack')

publishing #427: std_msgs.msg.String(data='backpack')

publishing #428: std_msgs.msg.String(data='backpack')

publishing #429: std_msgs.msg.String(data='backpack')

publishing #430: std_msgs.msg.String(data='backpack')

publishing #431: std_msgs.msg.String(data='backpack')

publishing #432: std_msgs.msg.String(data='backpack')

publishing #433: std_msgs.msg.String(data='backpack')

publishing #434: std_msgs.msg.String(data='backpack')

publishing #435: std_msgs.msg.String(data='backpack')

publishing #436: std_msgs.msg.String(data='backpack')

publishing #437: std_msgs.msg.String(data='backpack')

publishing #438: std_msgs.msg.String(data='backpack')

publishing #439: std_msgs.msg.String(data='backpack')

publishing #440: std_msgs.msg.String(data='backpack')

publishing #441: std_msgs.msg.String(data='backpack')

publishing #442: std_msgs.msg.String(data='backpack')

publishing #443: std_msgs.msg.String(data='backpack')

publishing #444: std_msgs.msg.String(data='backpack')

publishing #445: std_msgs.msg.String(data='backpack')

publishing #446: std_msgs.msg.String(data='backpack')

publishing #447: std_msgs.msg.String(data='backpack')

publishing #448: std_msgs.msg.String(data='backpack')

publishing #449: std_msgs.msg.String(data='backpack')

publishing #450: std_msgs.msg.String(data='backpack')

publishing #451: std_msgs.msg.String(data='backpack')

publishing #452: std_msgs.msg.String(data='backpack')

publishing #453: std_msgs.msg.String(data='backpack')

publishing #454: std_msgs.msg.String(data='backpack')

publishing #455: std_msgs.msg.String(data='backpack')

publishing #456: std_msgs.msg.String(data='backpack')

publishing #457: std_msgs.msg.String(data='backpack')

publishing #458: std_msgs.msg.String(data='backpack')

publishing #459: std_msgs.msg.String(data='backpack')

publishing #460: std_msgs.msg.String(data='backpack')

publishing #461: std_msgs.msg.String(data='backpack')

publishing #462: std_msgs.msg.String(data='backpack')

publishing #463: std_msgs.msg.String(data='backpack')

publishing #464: std_msgs.msg.String(data='backpack')

publishing #465: std_msgs.msg.String(data='backpack')

publishing #466: std_msgs.msg.String(data='backpack')

publishing #467: std_msgs.msg.String(data='backpack')

publishing #468: std_msgs.msg.String(data='backpack')

publishing #469: std_msgs.msg.String(data='backpack')

publishing #470: std_msgs.msg.String(data='backpack')

publishing #471: std_msgs.msg.String(data='backpack')

publishing #472: std_msgs.msg.String(data='backpack')

publishing #473: std_msgs.msg.String(data='backpack')

publishing #474: std_msgs.msg.String(data='backpack')

publishing #475: std_msgs.msg.String(data='backpack')

publishing #476: std_msgs.msg.String(data='backpack')

publishing #477: std_msgs.msg.String(data='backpack')

publishing #478: std_msgs.msg.String(data='backpack')

publishing #479: std_msgs.msg.String(data='backpack')

publishing #480: std_msgs.msg.String(data='backpack')

publishing #481: std_msgs.msg.String(data='backpack')

publishing #482: std_msgs.msg.String(data='backpack')

publishing #483: std_msgs.msg.String(data='backpack')

publishing #484: std_msgs.msg.String(data='backpack')

publishing #485: std_msgs.msg.String(data='backpack')

publishing #486: std_msgs.msg.String(data='backpack')

publishing #487: std_msgs.msg.String(data='backpack')

publishing #488: std_msgs.msg.String(data='backpack')

publishing #489: std_msgs.msg.String(data='backpack')

publishing #490: std_msgs.msg.String(data='backpack')

publishing #491: std_msgs.msg.String(data='backpack')

publishing #492: std_msgs.msg.String(data='backpack')

publishing #493: std_msgs.msg.String(data='backpack')

publishing #494: std_msgs.msg.String(data='backpack')

publishing #495: std_msgs.msg.String(data='backpack')

publishing #496: std_msgs.msg.String(data='backpack')

publishing #497: std_msgs.msg.String(data='backpack')

publishing #498: std_msgs.msg.String(data='backpack')

publishing #499: std_msgs.msg.String(data='backpack')

publishing #500: std_msgs.msg.String(data='backpack')

publishing #501: std_msgs.msg.String(data='backpack')

publishing #502: std_msgs.msg.String(data='backpack')

publishing #503: std_msgs.msg.String(data='backpack')

publishing #504: std_msgs.msg.String(data='backpack')

publishing #505: std_msgs.msg.String(data='backpack')

publishing #506: std_msgs.msg.String(data='backpack')

publishing #507: std_msgs.msg.String(data='backpack')

publishing #508: std_msgs.msg.String(data='backpack')

publishing #509: std_msgs.msg.String(data='backpack')

publishing #510: std_msgs.msg.String(data='backpack')

publishing #511: std_msgs.msg.String(data='backpack')

publishing #512: std_msgs.msg.String(data='backpack')

publishing #513: std_msgs.msg.String(data='backpack')

publishing #514: std_msgs.msg.String(data='backpack')

publishing #515: std_msgs.msg.String(data='backpack')

publishing #516: std_msgs.msg.String(data='backpack')

publishing #517: std_msgs.msg.String(data='backpack')

publishing #518: std_msgs.msg.String(data='backpack')

publishing #519: std_msgs.msg.String(data='backpack')

publishing #520: std_msgs.msg.String(data='backpack')

publishing #521: std_msgs.msg.String(data='backpack')

publishing #522: std_msgs.msg.String(data='backpack')

publishing #523: std_msgs.msg.String(data='backpack')

publishing #524: std_msgs.msg.String(data='backpack')

publishing #525: std_msgs.msg.String(data='backpack')

publishing #526: std_msgs.msg.String(data='backpack')

publishing #527: std_msgs.msg.String(data='backpack')

publishing #528: std_msgs.msg.String(data='backpack')

publishing #529: std_msgs.msg.String(data='backpack')

publishing #530: std_msgs.msg.String(data='backpack')

publishing #531: std_msgs.msg.String(data='backpack')

publishing #532: std_msgs.msg.String(data='backpack')

publishing #533: std_msgs.msg.String(data='backpack')

publishing #534: std_msgs.msg.String(data='backpack')

publishing #535: std_msgs.msg.String(data='backpack')

publishing #536: std_msgs.msg.String(data='backpack')

publishing #537: std_msgs.msg.String(data='backpack')

publishing #538: std_msgs.msg.String(data='backpack')

publishing #539: std_msgs.msg.String(data='backpack')

publishing #540: std_msgs.msg.String(data='backpack')

publishing #541: std_msgs.msg.String(data='backpack')

publishing #542: std_msgs.msg.String(data='backpack')

publishing #543: std_msgs.msg.String(data='backpack')

publishing #544: std_msgs.msg.String(data='backpack')

publishing #545: std_msgs.msg.String(data='backpack')

publishing #546: std_msgs.msg.String(data='backpack')

publishing #547: std_msgs.msg.String(data='backpack')

publishing #548: std_msgs.msg.String(data='backpack')

publishing #549: std_msgs.msg.String(data='backpack')

publishing #550: std_msgs.msg.String(data='backpack')

publishing #551: std_msgs.msg.String(data='backpack')

publishing #552: std_msgs.msg.String(data='backpack')

publishing #553: std_msgs.msg.String(data='backpack')

publishing #554: std_msgs.msg.String(data='backpack')

publishing #555: std_msgs.msg.String(data='backpack')

publishing #556: std_msgs.msg.String(data='backpack')

publishing #557: std_msgs.msg.String(data='backpack')

publishing #558: std_msgs.msg.String(data='backpack')

