[37;1m2026-06-04 23:20:45.714 [31;1m[[37;1mRTPS_TRANSPORT_SHM[31;1m Error] [37mFailed init_port fastrtps_port7413: open_and_lock_file failed[34;1m -> Function [36mopen_port_internal[m
[INFO] [1780586445.952528152] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1780586445.954713538] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1780586446.525900754] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1780586446.528101014] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1780586446.537235928] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1780586446.539931849] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.080 m/s, max_wz=0.350 rad/s
[INFO] [1780586448.525993497] [cmd_vel_to_rosmaster]: status: battery=11.6, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1780586454.744574289] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.020 => send: vx=0.060, vy=0.000, wz=-0.020
[INFO] [1780586454.779367768] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.021 => send: vx=0.060, vy=0.000, wz=-0.021
[INFO] [1780586454.810763544] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.022 => send: vx=0.060, vy=0.000, wz=-0.022
[INFO] [1780586454.845155154] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.024 => send: vx=0.060, vy=0.000, wz=-0.024
[INFO] [1780586454.876744928] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.025 => send: vx=0.060, vy=0.000, wz=-0.025
[INFO] [1780586454.909630267] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.026 => send: vx=0.060, vy=0.000, wz=-0.026
[INFO] [1780586454.942784144] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.028 => send: vx=0.060, vy=0.000, wz=-0.028
[INFO] [1780586454.976336599] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.029 => send: vx=0.060, vy=0.000, wz=-0.029
[INFO] [1780586455.008589239] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.031 => send: vx=0.060, vy=0.000, wz=-0.031
[INFO] [1780586455.041753867] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.032 => send: vx=0.060, vy=0.000, wz=-0.032
[INFO] [1780586455.074728081] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.034 => send: vx=0.060, vy=0.000, wz=-0.034
[INFO] [1780586455.107696211] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.036 => send: vx=0.060, vy=0.000, wz=-0.036
[INFO] [1780586455.141454748] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.037 => send: vx=0.060, vy=0.000, wz=-0.037
[INFO] [1780586455.175171618] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.038 => send: vx=0.060, vy=0.000, wz=-0.038
[INFO] [1780586455.206753143] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.041 => send: vx=0.060, vy=0.000, wz=-0.041
[INFO] [1780586455.240192225] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.042 => send: vx=0.060, vy=0.000, wz=-0.042
[INFO] [1780586455.273703640] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.044 => send: vx=0.060, vy=0.000, wz=-0.044
[INFO] [1780586455.305912448] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.045 => send: vx=0.000, vy=0.000, wz=-0.045
[INFO] [1780586455.338688164] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.048 => send: vx=0.000, vy=0.000, wz=-0.048
