[WARN] [1781598805.617248781] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781598805.709912377] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.006
 iou_threshold: 0.45
 nms_top_k: 50
 texts: green bottle,bottle,cup
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781598805.949709552] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781598805.949881552] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-16,16:33:26.576.10) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781598806.900062672] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781598806.900276131] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781598806.925583123] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781598806.928907580] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-16,16:33:26.887.921) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781598869.333555311] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.58, pre process time ms: 24, infer time ms: 396, post process time ms: 1
[WARN] [1781598870.380504652] [hobot_yolo_world]: Sub img fps: 20.59, Smart fps: 13.38, pre process time ms: 27, infer time ms: 317, post process time ms: 1
[WARN] [1781598871.503463303] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 11.58, pre process time ms: 43, infer time ms: 396, post process time ms: 1
[WARN] [1781598872.547859519] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.41, pre process time ms: 43, infer time ms: 313, post process time ms: 1
[WARN] [1781598873.669525796] [hobot_yolo_world]: Sub img fps: 20.06, Smart fps: 11.60, pre process time ms: 30, infer time ms: 377, post process time ms: 2
[WARN] [1781598874.714586721] [hobot_yolo_world]: Sub img fps: 20.02, Smart fps: 13.40, pre process time ms: 26, infer time ms: 299, post process time ms: 1
[WARN] [1781598875.837876288] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 11.58, pre process time ms: 24, infer time ms: 396, post process time ms: 1
[WARN] [1781598876.881539547] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 13.42, pre process time ms: 34, infer time ms: 317, post process time ms: 2
[WARN] [1781598878.005907656] [hobot_yolo_world]: Sub img fps: 19.59, Smart fps: 11.57, pre process time ms: 43, infer time ms: 397, post process time ms: 1
[WARN] [1781598879.052015289] [hobot_yolo_world]: Sub img fps: 20.33, Smart fps: 13.38, pre process time ms: 26, infer time ms: 316, post process time ms: 2
[WARN] [1781598880.174211857] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 11.59, pre process time ms: 27, infer time ms: 396, post process time ms: 2
[WARN] [1781598881.219330824] [hobot_yolo_world]: Sub img fps: 19.63, Smart fps: 13.40, pre process time ms: 27, infer time ms: 296, post process time ms: 2
[WARN] [1781598882.341847891] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 11.59, pre process time ms: 29, infer time ms: 395, post process time ms: 1
[WARN] [1781598883.386620317] [hobot_yolo_world]: Sub img fps: 20.63, Smart fps: 13.41, pre process time ms: 24, infer time ms: 300, post process time ms: 1
[WARN] [1781598884.510656217] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.58, pre process time ms: 43, infer time ms: 397, post process time ms: 2
[WARN] [1781598885.557638600] [hobot_yolo_world]: Sub img fps: 19.55, Smart fps: 13.37, pre process time ms: 27, infer time ms: 319, post process time ms: 1
[WARN] [1781598886.679591168] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 11.59, pre process time ms: 28, infer time ms: 395, post process time ms: 1
[WARN] [1781598887.726728843] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 13.38, pre process time ms: 24, infer time ms: 317, post process time ms: 1
[WARN] [1781598888.849021828] [hobot_yolo_world]: Sub img fps: 19.37, Smart fps: 11.59, pre process time ms: 23, infer time ms: 393, post process time ms: 2
[WARN] [1781598889.893458920] [hobot_yolo_world]: Sub img fps: 20.67, Smart fps: 13.41, pre process time ms: 24, infer time ms: 299, post process time ms: 2
[WARN] [1781598891.015615030] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.59, pre process time ms: 28, infer time ms: 380, post process time ms: 1
[WARN] [1781598892.060651747] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.42, pre process time ms: 25, infer time ms: 317, post process time ms: 2
[WARN] [1781598893.182613065] [hobot_yolo_world]: Sub img fps: 20.25, Smart fps: 11.59, pre process time ms: 26, infer time ms: 237, post process time ms: 1
[WARN] [1781598894.227164740] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 13.41, pre process time ms: 25, infer time ms: 314, post process time ms: 2
[WARN] [1781598895.350165391] [hobot_yolo_world]: Sub img fps: 20.41, Smart fps: 11.59, pre process time ms: 23, infer time ms: 396, post process time ms: 2
[WARN] [1781598896.397870774] [hobot_yolo_world]: Sub img fps: 19.88, Smart fps: 13.37, pre process time ms: 24, infer time ms: 319, post process time ms: 1
[WARN] [1781598897.518298010] [hobot_yolo_world]: Sub img fps: 19.72, Smart fps: 11.61, pre process time ms: 43, infer time ms: 394, post process time ms: 2
[WARN] [1781598898.562642935] [hobot_yolo_world]: Sub img fps: 20.27, Smart fps: 13.41, pre process time ms: 25, infer time ms: 317, post process time ms: 1
[WARN] [1781598899.684702545] [hobot_yolo_world]: Sub img fps: 19.81, Smart fps: 11.59, pre process time ms: 26, infer time ms: 395, post process time ms: 1
[WARN] [1781598900.730664262] [hobot_yolo_world]: Sub img fps: 20.31, Smart fps: 13.40, pre process time ms: 25, infer time ms: 317, post process time ms: 1
[WARN] [1781598901.854088038] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.58, pre process time ms: 43, infer time ms: 396, post process time ms: 2
[WARN] [1781598902.897173089] [hobot_yolo_world]: Sub img fps: 19.90, Smart fps: 13.44, pre process time ms: 25, infer time ms: 292, post process time ms: 2
[WARN] [1781598904.020860407] [hobot_yolo_world]: Sub img fps: 20.06, Smart fps: 11.58, pre process time ms: 26, infer time ms: 397, post process time ms: 1
[WARN] [1781598905.074791746] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.30, pre process time ms: 24, infer time ms: 317, post process time ms: 1
[WARN] [1781598906.196956190] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 11.60, pre process time ms: 27, infer time ms: 391, post process time ms: 1
[WARN] [1781598907.240469157] [hobot_yolo_world]: Sub img fps: 20.04, Smart fps: 13.42, pre process time ms: 23, infer time ms: 317, post process time ms: 2
[WARN] [1781598908.363036684] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.59, pre process time ms: 27, infer time ms: 397, post process time ms: 2
[WARN] [1781598909.406503360] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 13.42, pre process time ms: 25, infer time ms: 298, post process time ms: 1
[WARN] [1781598910.528637762] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.60, pre process time ms: 30, infer time ms: 394, post process time ms: 2
[WARN] [1781598911.573395187] [hobot_yolo_world]: Sub img fps: 20.25, Smart fps: 13.41, pre process time ms: 25, infer time ms: 299, post process time ms: 2
[WARN] [1781598912.619125155] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 12.44, pre process time ms: 26, infer time ms: 319, post process time ms: 2
[WARN] [1781598913.740878848] [hobot_yolo_world]: Sub img fps: 19.81, Smart fps: 11.60, pre process time ms: 24, infer time ms: 395, post process time ms: 1
[WARN] [1781598914.786136565] [hobot_yolo_world]: Sub img fps: 20.23, Smart fps: 13.40, pre process time ms: 23, infer time ms: 318, post process time ms: 2
[WARN] [1781598915.909365175] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.58, pre process time ms: 28, infer time ms: 395, post process time ms: 2
[WARN] [1781598916.956805683] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.37, pre process time ms: 42, infer time ms: 299, post process time ms: 1
[WARN] [1781598918.077461294] [hobot_yolo_world]: Sub img fps: 19.92, Smart fps: 11.61, pre process time ms: 25, infer time ms: 379, post process time ms: 2
[WARN] [1781598919.138197340] [hobot_yolo_world]: Sub img fps: 20.35, Smart fps: 13.21, pre process time ms: 26, infer time ms: 317, post process time ms: 2
[WARN] [1781598920.261109700] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.59, pre process time ms: 50, infer time ms: 396, post process time ms: 2
[WARN] [1781598921.310154958] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.35, pre process time ms: 27, infer time ms: 320, post process time ms: 2
[WARN] [1781598922.431619776] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.60, pre process time ms: 28, infer time ms: 396, post process time ms: 2
[WARN] [1781598923.476521494] [hobot_yolo_world]: Sub img fps: 19.92, Smart fps: 13.41, pre process time ms: 23, infer time ms: 317, post process time ms: 1
[WARN] [1781598924.598281771] [hobot_yolo_world]: Sub img fps: 20.17, Smart fps: 11.60, pre process time ms: 32, infer time ms: 394, post process time ms: 2
[WARN] [1781598925.643591447] [hobot_yolo_world]: Sub img fps: 19.34, Smart fps: 13.40, pre process time ms: 23, infer time ms: 318, post process time ms: 1
[WARN] [1781598926.765083974] [hobot_yolo_world]: Sub img fps: 20.67, Smart fps: 11.60, pre process time ms: 29, infer time ms: 395, post process time ms: 2
[WARN] [1781598927.809261567] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 13.42, pre process time ms: 43, infer time ms: 317, post process time ms: 2
[WARN] [1781598928.932686302] [hobot_yolo_world]: Sub img fps: 19.59, Smart fps: 11.58, pre process time ms: 24, infer time ms: 395, post process time ms: 1
[WARN] [1781598929.980983685] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.36, pre process time ms: 23, infer time ms: 320, post process time ms: 1
[WARN] [1781598931.104297337] [hobot_yolo_world]: Sub img fps: 20.37, Smart fps: 11.58, pre process time ms: 44, infer time ms: 397, post process time ms: 2
[WARN] [1781598932.147253055] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.44, pre process time ms: 25, infer time ms: 299, post process time ms: 2
[WARN] [1781598933.269495582] [hobot_yolo_world]: Sub img fps: 19.80, Smart fps: 11.59, pre process time ms: 26, infer time ms: 395, post process time ms: 1
[WARN] [1781598934.315545966] [hobot_yolo_world]: Sub img fps: 19.84, Smart fps: 13.40, pre process time ms: 25, infer time ms: 318, post process time ms: 2
[WARN] [1781598935.436142702] [hobot_yolo_world]: Sub img fps: 20.33, Smart fps: 11.61, pre process time ms: 24, infer time ms: 396, post process time ms: 2
[WARN] [1781598936.482302836] [hobot_yolo_world]: Sub img fps: 19.88, Smart fps: 13.38, pre process time ms: 24, infer time ms: 300, post process time ms: 2
[WARN] [1781598937.605139488] [hobot_yolo_world]: Sub img fps: 19.74, Smart fps: 11.59, pre process time ms: 25, infer time ms: 395, post process time ms: 2
[WARN] [1781598938.656788537] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 13.32, pre process time ms: 25, infer time ms: 303, post process time ms: 1
[WARN] [1781598939.777960981] [hobot_yolo_world]: Sub img fps: 20.71, Smart fps: 11.61, pre process time ms: 25, infer time ms: 394, post process time ms: 1
[WARN] [1781598940.832313446] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.28, pre process time ms: 25, infer time ms: 318, post process time ms: 2
[WARN] [1781598941.955285556] [hobot_yolo_world]: Sub img fps: 19.67, Smart fps: 11.58, pre process time ms: 24, infer time ms: 377, post process time ms: 2
[WARN] [1781598943.001346065] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 13.40, pre process time ms: 24, infer time ms: 319, post process time ms: 2
[WARN] [1781598944.120938635] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 11.61, pre process time ms: 60, infer time ms: 396, post process time ms: 1
[WARN] [1781598945.166417519] [hobot_yolo_world]: Sub img fps: 19.61, Smart fps: 13.40, pre process time ms: 26, infer time ms: 317, post process time ms: 2
[WARN] [1781598946.288281130] [hobot_yolo_world]: Sub img fps: 19.85, Smart fps: 11.60, pre process time ms: 26, infer time ms: 396, post process time ms: 2
[WARN] [1781598947.337141471] [hobot_yolo_world]: Sub img fps: 20.53, Smart fps: 13.36, pre process time ms: 24, infer time ms: 320, post process time ms: 2
