[WARN] [1781269571.614601462] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781269571.711346675] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.001
 iou_threshold: 0.45
 nms_top_k: 50
 texts: backpack
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781269571.956833686] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781269571.957049644] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-12,21:06:12.646.545) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781269572.980951980] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781269572.981174480] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781269573.021009857] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781269573.024293690] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-12,21:06:12.957.195) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781269784.699627997] [hobot_yolo_world]: Sub img fps: 19.90, Smart fps: 11.65, pre process time ms: 27, infer time ms: 394, post process time ms: 1
[WARN] [1781269785.738029185] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.49, pre process time ms: 24, infer time ms: 299, post process time ms: 2
[WARN] [1781269786.854781149] [hobot_yolo_world]: Sub img fps: 19.82, Smart fps: 11.64, pre process time ms: 42, infer time ms: 383, post process time ms: 1
[WARN] [1781269787.893056543] [hobot_yolo_world]: Sub img fps: 20.13, Smart fps: 13.49, pre process time ms: 26, infer time ms: 297, post process time ms: 2
[WARN] [1781269789.009296214] [hobot_yolo_world]: Sub img fps: 19.84, Smart fps: 11.65, pre process time ms: 43, infer time ms: 384, post process time ms: 2
[WARN] [1781269790.048368231] [hobot_yolo_world]: Sub img fps: 19.90, Smart fps: 13.47, pre process time ms: 33, infer time ms: 307, post process time ms: 2
[WARN] [1781269791.162376150] [hobot_yolo_world]: Sub img fps: 20.41, Smart fps: 11.67, pre process time ms: 25, infer time ms: 393, post process time ms: 2
[WARN] [1781269792.200671666] [hobot_yolo_world]: Sub img fps: 19.80, Smart fps: 13.49, pre process time ms: 25, infer time ms: 316, post process time ms: 1
[WARN] [1781269793.314937916] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 11.67, pre process time ms: 24, infer time ms: 394, post process time ms: 1
[WARN] [1781269794.353234805] [hobot_yolo_world]: Sub img fps: 20.47, Smart fps: 13.49, pre process time ms: 26, infer time ms: 298, post process time ms: 2
[WARN] [1781269795.468365053] [hobot_yolo_world]: Sub img fps: 19.78, Smart fps: 11.67, pre process time ms: 24, infer time ms: 394, post process time ms: 2
[WARN] [1781269796.508023315] [hobot_yolo_world]: Sub img fps: 19.79, Smart fps: 13.47, pre process time ms: 26, infer time ms: 315, post process time ms: 2
[WARN] [1781269797.625033352] [hobot_yolo_world]: Sub img fps: 20.41, Smart fps: 11.64, pre process time ms: 24, infer time ms: 396, post process time ms: 2
[WARN] [1781269798.664562862] [hobot_yolo_world]: Sub img fps: 20.23, Smart fps: 13.47, pre process time ms: 25, infer time ms: 315, post process time ms: 1
[WARN] [1781269799.779858981] [hobot_yolo_world]: Sub img fps: 20.23, Smart fps: 11.66, pre process time ms: 23, infer time ms: 394, post process time ms: 1
[WARN] [1781269800.817335240] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 13.50, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269801.932542107] [hobot_yolo_world]: Sub img fps: 19.53, Smart fps: 11.66, pre process time ms: 24, infer time ms: 394, post process time ms: 1
[WARN] [1781269802.971723405] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 13.47, pre process time ms: 23, infer time ms: 316, post process time ms: 1
[WARN] [1781269804.087607311] [hobot_yolo_world]: Sub img fps: 20.23, Smart fps: 11.65, pre process time ms: 26, infer time ms: 395, post process time ms: 1
[WARN] [1781269805.127383149] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.47, pre process time ms: 23, infer time ms: 303, post process time ms: 2
[WARN] [1781269806.244385428] [hobot_yolo_world]: Sub img fps: 19.92, Smart fps: 11.65, pre process time ms: 26, infer time ms: 394, post process time ms: 2
[WARN] [1781269807.283233889] [hobot_yolo_world]: Sub img fps: 20.13, Smart fps: 13.49, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269808.399523792] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.65, pre process time ms: 29, infer time ms: 376, post process time ms: 1
[WARN] [1781269809.436771293] [hobot_yolo_world]: Sub img fps: 19.66, Smart fps: 13.51, pre process time ms: 25, infer time ms: 315, post process time ms: 2
[WARN] [1781269810.552143111] [hobot_yolo_world]: Sub img fps: 20.21, Smart fps: 11.66, pre process time ms: 26, infer time ms: 394, post process time ms: 2
[WARN] [1781269811.589960693] [hobot_yolo_world]: Sub img fps: 20.23, Smart fps: 13.49, pre process time ms: 25, infer time ms: 316, post process time ms: 1
[WARN] [1781269812.704701134] [hobot_yolo_world]: Sub img fps: 19.88, Smart fps: 11.67, pre process time ms: 29, infer time ms: 394, post process time ms: 1
[WARN] [1781269813.743969506] [hobot_yolo_world]: Sub img fps: 20.04, Smart fps: 13.47, pre process time ms: 26, infer time ms: 317, post process time ms: 1
[WARN] [1781269814.860070778] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 11.65, pre process time ms: 25, infer time ms: 395, post process time ms: 2
[WARN] [1781269815.898971232] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.49, pre process time ms: 33, infer time ms: 316, post process time ms: 1
[WARN] [1781269817.013126378] [hobot_yolo_world]: Sub img fps: 20.02, Smart fps: 11.67, pre process time ms: 24, infer time ms: 394, post process time ms: 2
[WARN] [1781269818.052727913] [hobot_yolo_world]: Sub img fps: 20.02, Smart fps: 13.47, pre process time ms: 26, infer time ms: 316, post process time ms: 1
[WARN] [1781269819.168838806] [hobot_yolo_world]: Sub img fps: 19.64, Smart fps: 11.66, pre process time ms: 24, infer time ms: 394, post process time ms: 2
[WARN] [1781269820.206641089] [hobot_yolo_world]: Sub img fps: 20.41, Smart fps: 13.49, pre process time ms: 25, infer time ms: 297, post process time ms: 1
[WARN] [1781269821.322644439] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.66, pre process time ms: 25, infer time ms: 394, post process time ms: 2
[WARN] [1781269822.360687929] [hobot_yolo_world]: Sub img fps: 19.59, Smart fps: 13.49, pre process time ms: 25, infer time ms: 314, post process time ms: 1
[WARN] [1781269823.480287401] [hobot_yolo_world]: Sub img fps: 20.04, Smart fps: 11.62, pre process time ms: 24, infer time ms: 395, post process time ms: 2
[WARN] [1781269824.518298723] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 13.50, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269825.632611361] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 11.67, pre process time ms: 26, infer time ms: 394, post process time ms: 1
[WARN] [1781269826.671033889] [hobot_yolo_world]: Sub img fps: 20.25, Smart fps: 13.49, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269827.787180233] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.65, pre process time ms: 42, infer time ms: 391, post process time ms: 2
[WARN] [1781269828.825128593] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.50, pre process time ms: 25, infer time ms: 295, post process time ms: 2
[WARN] [1781269829.942392226] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.65, pre process time ms: 26, infer time ms: 394, post process time ms: 2
[WARN] [1781269830.978876918] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.50, pre process time ms: 23, infer time ms: 315, post process time ms: 1
[WARN] [1781269832.098969549] [hobot_yolo_world]: Sub img fps: 19.50, Smart fps: 11.61, pre process time ms: 34, infer time ms: 393, post process time ms: 1
[WARN] [1781269833.145304737] [hobot_yolo_world]: Sub img fps: 20.51, Smart fps: 13.38, pre process time ms: 26, infer time ms: 298, post process time ms: 2
[WARN] [1781269834.259959868] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.67, pre process time ms: 25, infer time ms: 376, post process time ms: 1
[WARN] [1781269835.298289555] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.49, pre process time ms: 25, infer time ms: 310, post process time ms: 2
[WARN] [1781269836.412146767] [hobot_yolo_world]: Sub img fps: 19.72, Smart fps: 11.68, pre process time ms: 27, infer time ms: 394, post process time ms: 2
[WARN] [1781269837.449976120] [hobot_yolo_world]: Sub img fps: 19.80, Smart fps: 13.50, pre process time ms: 25, infer time ms: 315, post process time ms: 1
[WARN] [1781269838.564660539] [hobot_yolo_world]: Sub img fps: 20.55, Smart fps: 11.67, pre process time ms: 24, infer time ms: 394, post process time ms: 1
[WARN] [1781269839.602949015] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.49, pre process time ms: 25, infer time ms: 316, post process time ms: 1
[WARN] [1781269840.718330890] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 11.66, pre process time ms: 23, infer time ms: 395, post process time ms: 2
[WARN] [1781269841.758008156] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.47, pre process time ms: 28, infer time ms: 312, post process time ms: 2
[WARN] [1781269842.873080904] [hobot_yolo_world]: Sub img fps: 20.11, Smart fps: 11.67, pre process time ms: 23, infer time ms: 394, post process time ms: 2
[WARN] [1781269843.911384460] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.49, pre process time ms: 29, infer time ms: 313, post process time ms: 2
[WARN] [1781269845.026568206] [hobot_yolo_world]: Sub img fps: 19.84, Smart fps: 11.66, pre process time ms: 25, infer time ms: 394, post process time ms: 1
[WARN] [1781269846.063899761] [hobot_yolo_world]: Sub img fps: 19.92, Smart fps: 13.50, pre process time ms: 26, infer time ms: 315, post process time ms: 1
[WARN] [1781269847.178470213] [hobot_yolo_world]: Sub img fps: 19.92, Smart fps: 11.67, pre process time ms: 25, infer time ms: 394, post process time ms: 1
[WARN] [1781269848.216413391] [hobot_yolo_world]: Sub img fps: 20.47, Smart fps: 13.50, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269849.330817425] [hobot_yolo_world]: Sub img fps: 19.86, Smart fps: 11.67, pre process time ms: 25, infer time ms: 393, post process time ms: 1
[WARN] [1781269850.372925226] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.44, pre process time ms: 36, infer time ms: 316, post process time ms: 1
[WARN] [1781269851.488970466] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 11.65, pre process time ms: 25, infer time ms: 392, post process time ms: 1
