[INFO] [1781598795.756536982] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781598795.758806898] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781598795.760799731] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781598994.779035162] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781598996.828662945] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598998.830233368] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599000.877003902] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781599002.877187159] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599004.877968374] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599006.879240297] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599008.880420970] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599010.927834379] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599013.005613029] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.73
[INFO] [1781599015.032578236] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.24
[INFO] [1781599017.096026766] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.86
[INFO] [1781599019.127363138] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.18
[INFO] [1781599021.180242504] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781599023.227481872] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599025.227679171] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599027.228595053] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599029.229167811] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599031.278788636] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599033.329312920] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781599035.382368703] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599037.429965571] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599039.429797871] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599041.476801448] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781599043.478247580] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781599045.494563792] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.84
[INFO] [1781599047.530665164] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.15
[INFO] [1781599049.530220255] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599051.578595790] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599053.637662864] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.92
[INFO] [1781599055.677583568] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.09
[INFO] [1781599057.679815742] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599059.744083273] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.84
[INFO] [1781599061.777833812] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.16
[INFO] [1781599063.827799222] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599065.879206757] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781599067.930848958] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599069.931871924] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599071.976840878] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.04
[INFO] [1781599073.977625678] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781599075.980427519] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781599078.028546138] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599080.029693814] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599082.078534058] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781599084.129318968] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599086.177787045] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781599088.248952283] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.80
[INFO] [1781599090.277936283] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.20
[INFO] [1781599092.279138917] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781599094.328678536] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599096.379101738] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781599098.382377872] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
