[INFO] [1782905588.662194507] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782906006.915772280] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=247, removed_isolated=4
[INFO] [1782906011.889437421] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=249, removed_isolated=4
[INFO] [1782906016.883907664] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=257, removed_isolated=3
[INFO] [1782906021.877840154] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=248, removed_isolated=6
[INFO] [1782906026.872805723] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=257, removed_isolated=3
[INFO] [1782906031.869731745] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=252, removed_isolated=5
[INFO] [1782906036.858095395] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=257, removed_isolated=5
[INFO] [1782906041.856106700] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=254, removed_isolated=6
[INFO] [1782906046.848391297] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=253, removed_isolated=3
[INFO] [1782906051.837003728] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=254, removed_isolated=6
[INFO] [1782906056.832440274] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=246, removed_isolated=6
[INFO] [1782906061.837968557] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=249, removed_isolated=6
[INFO] [1782906066.818144442] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=252, removed_isolated=7
[INFO] [1782906071.815406808] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=250, removed_isolated=4
[INFO] [1782906076.811343964] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=252, removed_isolated=3
[INFO] [1782906081.806566699] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=261, removed_isolated=5
[INFO] [1782906086.794310771] [simple_scan_filter]: scan stats: n=404, zeros=107, nan=0, inf=0, finite_raw=297, finite_out=256, removed_isolated=2
[INFO] [1782906091.788428376] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=249, removed_isolated=2
[INFO] [1782906096.792014635] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=255, removed_isolated=3
[INFO] [1782906101.775102158] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=254, removed_isolated=4
[INFO] [1782906106.769906543] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=258, removed_isolated=3
[INFO] [1782906111.766057714] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=248, removed_isolated=6
[INFO] [1782906116.772938747] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=257, removed_isolated=3
[INFO] [1782906121.750846636] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=248, removed_isolated=3
[INFO] [1782906126.744609923] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=247, removed_isolated=5
[INFO] [1782906131.739661748] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=246, removed_isolated=7
[INFO] [1782906136.732577612] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=241, removed_isolated=6
[INFO] [1782906141.730202177] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=257, removed_isolated=3
[INFO] [1782906146.725632533] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=243, removed_isolated=6
[INFO] [1782906151.717932554] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=256, removed_isolated=4
[INFO] [1782906156.708385698] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=251, removed_isolated=8
[INFO] [1782906161.710395911] [simple_scan_filter]: scan stats: n=404, zeros=110, nan=0, inf=0, finite_raw=294, finite_out=256, removed_isolated=5
[INFO] [1782906166.701646506] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=250, removed_isolated=4
[INFO] [1782906171.697679176] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=239, removed_isolated=6
[INFO] [1782906176.687707890] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=253, removed_isolated=6
[INFO] [1782906181.686217592] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=247, removed_isolated=4
[INFO] [1782906186.679906171] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=246, removed_isolated=5
[INFO] [1782906191.670932456] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=249, removed_isolated=7
[INFO] [1782906196.671459521] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=255, removed_isolated=3
[INFO] [1782906201.658980220] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=253, removed_isolated=4
[INFO] [1782906206.654100700] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=245, removed_isolated=5
[INFO] [1782906211.650275217] [simple_scan_filter]: scan stats: n=404, zeros=110, nan=0, inf=0, finite_raw=294, finite_out=255, removed_isolated=5
[INFO] [1782906216.647097021] [simple_scan_filter]: scan stats: n=404, zeros=110, nan=0, inf=0, finite_raw=294, finite_out=255, removed_isolated=7
[INFO] [1782906221.641062658] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=241, removed_isolated=7
[INFO] [1782906226.629613005] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=253, removed_isolated=4
[INFO] [1782906231.623960760] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=257, removed_isolated=5
[INFO] [1782906236.628498628] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=250, removed_isolated=3
[INFO] [1782906241.618531921] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=254, removed_isolated=4
[INFO] [1782906246.613530916] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=250, removed_isolated=5
[INFO] [1782906251.599797914] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=243, removed_isolated=6
